     100 files     200 files     300 files     376 text files.
classified 376 filesDuplicate file check 376 files (367 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               376 unique files.                              
Counting:  100Counting:  200Counting:  300      55 files ignored.

http://cloc.sourceforge.net v 1.60  T=1.79 s (195.4 files/s, 22193.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Objects/Entities/Keyboard.h                                     23             13             65
Core/Systems/Editor/EditorInspector.hpp                              10             45             64
Core/Components/BoxCollider.cpp                                      14             71             64
Core/Systems/Reflection/Reflection.cpp                               24             74             63
Core/Objects/Entities/Space.h                                        17             21             62
Core/Engine/Actions.hpp                                              12             68             62
Core/Engine/EventDelegate.h                                          17             59             62
Core/Resources/SoundInstance.cpp                                     18             77             61
Core/Resources/SpriteLayer.cpp                                       21             74             61
Core/Objects/Entities/GameSession.cpp                                33             83             59
Core/Systems/Window/WindowGLFW.cpp                                   30             85             59
Core/Components/TransformToolComponent.h                             15             14             59
Core/Resources/Shader.h                                              17             23             59
Core/Engine/Timer.h                                                  25             40             57
Core/Engine/SteeringBehavior.cpp                                     10             14             57
Core/Resources/SpriteSource.h                                        21             19             57
Core/Resources/CollisionTable.h                                      20             33             56
Core/Systems/Editor/EditorUtilities.h                                15             20             56
Core/Objects/Entities/GameObject.h                                   15             15             56
Core/Systems/Input/Input.cpp                                         18             50             56
Core/Systems/Editor/EditorResources.h                                15             63             56
Core/Systems/Serialization/SerializerJSONCPP.h                       27             41             54
Core/Components/Camera.h                                             18             30             54
Core/Resources/SoundCue.h                                            12             24             54
Core/Systems/Editor/EditorTool.h                                     21             36             54
Core/Systems/GUI/Windows.cpp                                         16             19             53
Core/Systems/DirectoryWatcher/SYSTEM.cpp                             18             21             53
Core/Components/PhysicsSpace.h                                       16             20             53
Core/Resources/ZilchScript.cpp                                       12             59             53
Core/Systems/DirectoryWatcher/Logger.h                                8              5             53
Core/Systems/Audio/AudioFMOD_Get.cpp                                 17             52             52
Core/Binding/CoreBindingTypes.cpp                                     9             27             52
Core/Components/Collider.cpp                                         16             39             51
Core/Components/GraphicsSpace.h                                      25             27             50
Core/Components/Orientation.cpp                                      25             15             50
Core/Engine/ActionSpace.cpp                                          26             70             50
Core/Systems/Audio/Audio.h                                           18             13             49
Core/Components/Sprite_Animation.cpp                                  6             11             48
Core/Systems/Window/WindowSFML.h                                     16             19             48
Core/Components/Light.h                                              11             26             47
Core/Components/DebugReport.cpp                                      15             22             46
Core/Events/DispatchGameEvents.cpp                                    8             11             46
Core/Objects/Object.h                                                19             21             46
Core/Engine/ActionsOwner.cpp                                         15             51             45
Core/Systems/GUI/GUI.h                                               19             11             45
Core/Systems/Editor/EditorProjects.cpp                               13             52             45
Core/Components/SoundSpace.cpp                                       17             65             45
Core/Systems/Editor/Objects.cpp                                      13             30             45
Core/Components/ParticleEmitter.cpp                                   9             26             44
