http://cloc.sourceforge.net v 1.60  T=1.21 s (210.7 files/s, 21227.5 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
Core/Systems/Serialization/JSONObject.h                               9             13             35
Core/Objects/Entities/Mouse.cpp                                      13             13             35
Core/Resources/SoundCue.h                                            17             13             35
Core/Systems/Serialization/SerializerJSONCPP.h                       23             34             35
Core/Components/PhysicsSpace.h                                       14             16             34
Core/Components/SpriteText.h                                         13             10             33
Core/Systems/Editor/WindowTools.cpp                                  14             16             33
Core/Components/SoundSpace.h                                         14             10             33
Core/Systems/Input/InputGLFW.h                                       14             13             32
Core/Systems/Filesystem/FileSystem.h                                 13             15             32
Core/Systems/Window/WindowGLFW.h                                     21             14             32
Core/Systems/Input/Input.h                                            9             11             31
Core/Components/SpriteParticleSystem.h                                8             11             31
Core/Systems/Reflection/Variant.h                                     9             32             31
Core/Components/Reactive.h                                            8             14             31
Core/ComponentsInclude.h                                              6             17             31
Core/Systems/Reflection/StringWrapper.cpp                            10              1             31
Core/Objects/Entities/Mouse.h                                        14             12             30
Core/Components/DebugReport.h                                        10             14             30
Core/Components/CameraViewport.h                                     14             15             30
Core/Resources/Archetype.cpp                                         12             37             30
Core/Components/DebugMoveController.h                                11             12             29
Core/Systems/Reflection/VariantBase.h                                12              0             29
Core/Components/DebugCollider.cpp                                    10             22             29
Core/Components/Orientation.h                                         8             21             29
Core/Systems/GUI/GUI.h                                               14             11             29
Core/Components/CircleCollider.h                                     12             16             28
Core/Systems/Reflection/Reflection.h                                 16             15             28
Core/Systems/Reflection/RefVariant.cpp                                9              0             28
Core/Components/DebugFade.cpp                                         9             14             27
Core/Resources/Mesh.cpp                                               8             17             27
Core/Components/SoundEmitter.cpp                                     10             34             27
Core/Systems/Reflection/RefVariant.h                                  8              0             27
Core/Events/GameEvents.h                                             10             10             27
Core/Events/CollisionEvents.h                                        11             15             26
Core/Components/ParticleEmitter.h                                     9             11             26
Core/Components/EditorCameraController.h                              8             13             26
Core/Components/TimeSpace.cpp                                        12             38             26
Core/Systems/Filesystem/Old/FileSystem.h                              6             18             24
Core/Resources/Mesh.h                                                15             15             24
Core/Components/SoundEmitter.h                                       13             13             24
Core/Events/EngineEvents.h                                           10             10             24
Core/Systems/Reflection/Variant.cpp                                   8              3             24
Core/Systems/Reflection/VariantBase.cpp                               9              0             22
Core/Components/IgnoreSpaceEffects.h                                  4             13             22
Core/Components/SpriteText.cpp                                        5             19             22
Core/Systems/Editor/Objects.cpp                                      11             21             22
Core/Resources/Font.h                                                 9             22             22
Core/Daisy.cpp                                                        8             28             21
Core/Components/TimeSpace.h                                          10             13             21
Core/Resources/Level.h                                                9             11             21
Core/Events/UpdateEvents.h                                           12              9             21
Core/Systems/Audio/FMODSystemPtr.h                                    2             11             20
Core/Resources/Texture2D.h                                           10             21             20
Core/Components/Collider.cpp                                         10             23             20
Core/Engine/Event.h                                                  10             14             20
Core/Components/DebugCamera.h                                         7             13             20
Core/Debug/DebugGraphics.cpp                                          5             10             20
Core/Engine/Macros.h                                                 15             32             20
Core/Components/DebugCollider.h                                       9             16             20
Core/Components/Collider.h                                           15             35             19
Core/Components/DebugAudio.h                                          7             14             19
Core/Systems/Factory/ComponentFactory.h                               6             22             19
Core/Systems/Input/InputGLFW.cpp                                     11             22             19
Core/Events/MouseEvents.h                                            11             10             19
Core/Components/SpriteParticleSystem.cpp                             10             20             18
Core/Components/LinearParticleAnimator.h                              7             11             18
Core/Systems/Serialization/Serialization.h                           15             22             18
Core/Systems/Editor/ResourcesAdd.cpp                                  4             21             18
Core/Resources/Archetype.h                                            8             12             18
Core/Components/ParticleEmitter.cpp                                   7             18             18
Core/Components/ParticleColorAnimator.h                               9             11             17
Core/Components/DebugFade.h                                           7             14             17
Core/Systems/Reflection/StringWrapper.h                               7              5             17
Core/Systems/Serialization/JSONObject.cpp                             6             10             17
Core/Binding/CoreBinding.h                                           11             24             16
Core/Objects/Resource.h                                              11             15             16
Core/Components/LinearParticleAnimator.cpp                            7             16             16
Core/Components/ParticleColorAnimator.cpp                             5             16             16
Core/Resources/SoundCue.cpp                                           5             30             16
Core/Events/MouseScroll.h                                             8             11             16
Core/EventsInclude.h                                                  2             17             15
Core/Resources/CollisionGroup.h                                       9             10             15
Core/Systems/DispatchSystemEvents.h                                   9             11             14
Core/Resources/ResourcesInclude.h                                     5             10             14
Core/Systems/Editor/WindowConsole.cpp                                13             12             14
Core/Resources/CollisionGroup.cpp                                     4             17             13
Core/Systems/Audio/FMODPtrs.h                                        10             18             13
Core/Systems/Reflection/TypesMeta.cpp                                10              7             13
Core/Events/DispatchGameEvents.h                                      4             18             13
Core/Events/GraphicsEvents.h                                          5             10             12
Core/Events/SpriteRegistrationEvent.h                                 8             10             12
Core/Events/KeyDownEvent.h                                            8             11             12
Core/Events/KeyUpEvent.h                                              8             11             12
Core/Engine/Math.h                                                    9             11             12
Core/Events/MouseDown.h                                               6             10             12
Core/Events/MouseUp.h                                                 6             10             12
Core/Objects/DebugDraw/DrawLine.h                                     5             10             12
Core/Objects/DebugDraw.h                                              8             10             11
Core/Systems/SystemsInclude.h                                         1              9             11
Core/Debug/DebugGraphics.h                                            6             10             11
Core/Events/WindowEvents.h                                            6             10             10
Core/Resources/Texture.h                                              7             11             10
Core/Engine/ActionList.h                                              9             11             10
Core/Objects/Components/ZilchComponent.h                              6             11             10
Core/Precompiled/Precompiled.h                                        7             37             10
Core/Objects/Resource.cpp                                             8             21              9
Core/Systems/Factory/ComponentFactoryMap.cpp                          6             50              9
Core/Events/EditorEvents.h                                            4             10              9
Core/Engine/Action.h                                                  8             11              9
Core/Systems/System.cpp                                               2             12              8
Core/Engine/Archetype.h                                               7             12              8
Core/Systems/DirectoryWatcher/sha1.h                                  8             33              8
Core/Binding/CoreBindingTypes.h                                       3             11              7
Core/Objects/DebugDraw/DrawRectangle.h                                5             10              7
Core/Objects/DebugDraw/DrawCircle.h                                   5             10              7
Core/Resources/Material.h                                             8             10              6
Core/Objects/Entities/EntitiesInclude.h                               2             10              6
Core/Systems/DirectoryWatcher/SYSTEM.h                                4              1              5
Core/Engine/Event.cpp                                                 5             15              5
Core/Systems/Serialization/SerializerJSONCPP.cpp                     17            108              5
Core/Components/EngineReference.h                                     4             10              5
Core/Objects/DebugDraw/DebugDrawInclude.h                             2             10              4
Core/Objects/ObjectsInclude.h                                         3             10              4
Core/Systems/Serialization/Serialization.cpp                          2             13              3
Core/Systems/Reflection/TypesMeta.h                                   1              0              3
Core/Engine/Delegate.cpp                                             10             87              3
Core/Components/ComponentReference.h                                  1             10              3
Core/Components/DebugDrawReference.h                                  1             10              2
Core/Resources/ResourceReference.h                                    1             10              2
Core/Binding.h                                                        0             10              2
Core/Testing.h                                                        0              9              2
Core/Engine/ZilchEvent.h                                              1             10              2
Core/Events/EventReference.h                                          1             10              2
Core/Precompiled/Precompiled.cpp                                      2             12              1
Core/Binding/CoreBindingObjects.h                                     3             11              1
Core/Systems/DirectoryWatcher/DirectoryWatcher.h                      0              1              0
-----------------------------------------------------------------------------------------------------
SUM:                                                               4074           8536          12985
-----------------------------------------------------------------------------------------------------
