     100 files     200 files     300 files     355 text files.
classified 355 filesDuplicate file check 355 files (343 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               355 unique files.                              
Counting:  100Counting:  200Counting:  300     204 files ignored.

http://cloc.sourceforge.net v 1.60  T=0.90 s (179.5 files/s, 30758.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Objects/Object.cpp                                              14             53             41
Core/Resources/Texture2D.cpp                                         13             15             41
Core/Resources/SoundCue.cpp                                           9             40             39
Core/Debug/Debug.cpp                                                 22             72             39
Core/Binding/CoreBindingTypes.cpp                                     4             23             37
Core/Systems/Editor/WindowCreate.cpp                                  8             21             36
Core/Objects/Entities/Mouse.cpp                                      13             13             35
Core/Engine/Actions.cpp                                              14             59             33
Core/Components/DebugCollider.cpp                                    10             22             32
Core/Resources/Archetype.cpp                                         13             38             32
Core/Components/ParticleColorAnimator.cpp                             6             25             32
Core/Components/Collider.cpp                                          8             39             31
Core/Systems/Reflection/StringWrapper.cpp                            10              1             31
Core/Resources/Level.cpp                                             19             51             31
Core/Components/SoundEmitter.cpp                                     10             36             30
Core/Components/DebugFade.cpp                                         8             14             30
Core/Systems/Audio/AudioFMOD_Get.cpp                                 13             35             29
Core/Systems/Physics/Manifold.cpp                                    10             13             29
Core/Components/LinearParticleAnimator.cpp                            5             25             29
Core/Components/TimeSpace.cpp                                        12             40             28
Core/Systems/Reflection/RefVariant.cpp                                9              0             28
Core/Systems/Editor/MenuLaunch.cpp                                    6             26             28
Core/Resources/Mesh.cpp                                               8             17             27
Core/Systems/Editor/Editor.hpp                                        4              7             27
Core/Systems/Editor/EditorTool.cpp                                    8             25             26
Core/Engine/ActionDelay.cpp                                           8             28             25
Core/Systems/Reflection/Variant.cpp                                   8              3             24
Core/Components/Graphical.cpp                                         8             38             23
Core/Resources/Bank.cpp                                              15             50             22
Core/Resources/CollisionGroup.cpp                                     6             25             22
Core/Systems/Reflection/VariantBase.cpp                               9              0             22
Core/Daisy.cpp                                                        8             28             21
Core/Debug/DebugGraphics.cpp                                          5             10             20
Core/Resources/PhysicsMaterial.cpp                                    4             15             19
Core/Systems/Input/InputGLFW.cpp                                     11             22             19
Core/Systems/Serialization/JSONObject.cpp                             6             10             17
Core/Systems/Editor/MultiSelector.cpp                                 9              0             16
Core/Systems/Editor/CameraControl.cpp                                 9              8             16
Core/Systems/Editor/WindowConsole.cpp                                13             12             14
Core/Resources/Texture.cpp                                            8             26             14
